Año,Semana,Precio Gasolina,Precio Gasoleo
2011,Semana 23,1.348,1.26
2011,Semana 24,1.324,1.251
2011,Semana 25,1.318,1.264
2011,Semana 26,1.323,1.272
2011,Semana 27,1.305,1.243
2011,Semana 28,1.309,1.242
2011,Semana 29,1.332,1.258
2011,Semana 30,1.356,1.283
2011,Semana 31,1.356,1.282
2011,Semana 32,1.354,1.28
2011,Semana 33,1.337,1.267
2011,Semana 34,1.3239999999999998,1.2530000000000001
2011,Semana 35,1.311,1.239
2011,Semana 36,1.319,1.243
2011,Semana 37,1.354,1.265
2011,Semana 38,1.356,1.276
2011,Semana 39,1.352,1.275
2011,Semana 40,1.329,1.275
2011,Semana 41,1.311,1.261
2011,Semana 42,1.315,1.268
2011,Semana 43,1.33,1.279
2011,Semana 44,1.314,1.291
2011,Semana 45,1.314,1.296
2011,Semana 46,1.305,1.295
2011,Semana 47,1.309,1.315
2011,Semana 48,1.295,1.322
2011,Semana 49,1.285,1.299
2011,Semana 50,1.284,1.296
2011,Semana 51,1.294,1.297
2011,Semana 52,1.296,1.285
2012,Semana 1,1.327,1.3105
2012,Semana 2,1.3425,1.32325
2012,Semana 3,1.358,1.336
2012,Semana 4,1.367,1.36
2012,Semana 5,1.37,1.334
2012,Semana 6,1.37,1.321
2012,Semana 7,1.378,1.325
2012,Semana 8,1.392,1.35
2012,Semana 9,1.415,1.368
2012,Semana 10,1.432,1.372
2012,Semana 11,1.437,1.364
2012,Semana 12,1.451,1.39
2012,Semana 13,1.477,1.399
2012,Semana 14,1.478,1.388
2012,Semana 15,1.498,1.392
2012,Semana 16,1.498,1.3835
2012,Semana 17,1.498,1.375
2012,Semana 18,1.473,1.372
2012,Semana 19,1.457,1.371
2012,Semana 20,1.436,1.373
2012,Semana 21,1.414,1.35
2012,Semana 22,1.407,1.345
2012,Semana 23,1.409,1.33
2012,Semana 24,1.401,1.318
2012,Semana 25,1.373,1.298
2012,Semana 26,1.361,1.29
2012,Semana 27,1.348,1.28
2012,Semana 28,1.348,1.285
2012,Semana 29,1.398,1.324
2012,Semana 30,1.402,1.338
2012,Semana 31,1.43,1.378
2012,Semana 32,1.429,1.374
2012,Semana 33,1.44,1.361
2012,Semana 34,1.47,1.395
2012,Semana 35,1.511,1.42
2012,Semana 36,1.512,1.422
2012,Semana 37,1.522,1.444
2012,Semana 38,1.518,1.441
2012,Semana 39,1.501,1.432
2012,Semana 40,1.461,1.411
2012,Semana 41,1.475,1.415
2012,Semana 42,1.477,1.418
2012,Semana 43,1.498,1.428
2012,Semana 44,1.436,1.403
2012,Semana 45,1.391,1.385
2012,Semana 46,1.38,1.366
2012,Semana 47,1.364,1.35
2012,Semana 48,1.371,1.345
2012,Semana 49,1.374,1.35
2012,Semana 50,1.376,1.354
2012,Semana 51,1.375,1.345
2012,Semana 52,1.374,1.341
2013,Semana 1,1.387,1.3515000000000001
2013,Semana 2,1.4,1.362
2013,Semana 3,1.423,1.377
2013,Semana 4,1.412,1.366
2013,Semana 5,1.427,1.375
2013,Semana 6,1.453,1.378
2013,Semana 7,1.461,1.389
2013,Semana 8,1.484,1.41
2013,Semana 9,1.509,1.414
2013,Semana 10,1.488,1.397
2013,Semana 11,1.454,1.377
2013,Semana 12,1.443,1.37
2013,Semana 13,1.452,1.362
2013,Semana 14,1.458,1.368
2013,Semana 15,1.464,1.374
2013,Semana 16,1.428,1.342
2013,Semana 17,1.403,1.311
2013,Semana 18,1.402,1.308
2013,Semana 19,1.396,1.304
2013,Semana 20,1.405,1.323
2013,Semana 21,1.412,1.329
2013,Semana 22,1.437,1.348
2013,Semana 23,1.436,1.342
2013,Semana 24,1.43,1.329
2013,Semana 25,1.424,1.326
2013,Semana 26,1.425,1.333
2013,Semana 27,1.42,1.332
2013,Semana 28,1.422,1.339
2013,Semana 29,1.45,1.364
2013,Semana 30,1.472,1.372
2013,Semana 31,1.471,1.376
2013,Semana 32,1.457,1.364
2013,Semana 33,1.45,1.359
2013,Semana 34,1.448,1.36
2013,Semana 35,1.456,1.37
2013,Semana 36,1.47,1.382
2013,Semana 37,1.477,1.401
2013,Semana 38,1.453,1.397
2013,Semana 39,1.424,1.38
2013,Semana 40,1.415,1.361
2013,Semana 41,1.411,1.359
2013,Semana 42,1.407,1.36
2013,Semana 43,1.407,1.361
2013,Semana 44,1.399,1.347
2013,Semana 45,1.383,1.338
2013,Semana 46,1.378,1.335
2013,Semana 47,1.39,1.336
2013,Semana 48,1.4,1.343
2013,Semana 49,1.405,1.356
2013,Semana 50,1.405,1.36
2013,Semana 51,1.396,1.346
2014,Semana 1,1.4015,1.3515000000000001
2014,Semana 2,1.407,1.357
2014,Semana 3,1.395,1.342
2014,Semana 4,1.387,1.335
2014,Semana 5,1.388,1.339
2014,Semana 6,1.387,1.335
2014,Semana 7,1.387,1.335
2014,Semana 8,1.396,1.338
2014,Semana 9,1.402,1.34
2014,Semana 10,1.407,1.342
2014,Semana 11,1.399,1.335
2014,Semana 12,1.392,1.323
2014,Semana 13,1.392,1.314
2014,Semana 14,1.398,1.319
2014,Semana 15,1.399,1.319
2014,Semana 16,1.41,1.32
2014,Semana 17,1.4184999999999999,1.324
2014,Semana 18,1.427,1.328
2014,Semana 19,1.427,1.326
2014,Semana 20,1.417,1.314
2014,Semana 21,1.415,1.321
2014,Semana 22,1.423,1.325
2014,Semana 23,1.428,1.326
2014,Semana 24,1.421,1.316
2014,Semana 25,1.427,1.32
2014,Semana 26,1.448,1.34
2014,Semana 27,1.456,1.346
2014,Semana 28,1.452,1.337
2014,Semana 29,1.444,1.327
2014,Semana 30,1.437,1.32
2014,Semana 31,1.424,1.318
2014,Semana 32,1.405,1.315
2014,Semana 33,1.41,1.324
2014,Semana 34,1.414,1.326
2014,Semana 35,1.406,1.319
2014,Semana 36,1.413,1.324
2014,Semana 37,1.416,1.327
2014,Semana 38,1.415,1.326
2014,Semana 39,1.405,1.318
2014,Semana 40,1.401,1.312
2014,Semana 41,1.405,1.313
2014,Semana 42,1.392,1.298
2014,Semana 43,1.352,1.274
2014,Semana 44,1.328,1.259
2014,Semana 45,1.331,1.264
2014,Semana 46,1.331,1.265
2014,Semana 47,1.328,1.262
2014,Semana 48,1.308,1.241
2014,Semana 49,1.293,1.228
2014,Semana 50,1.253,1.195
2014,Semana 51,1.217,1.162
2015,Semana 1,1.1835,1.1320000000000001
2015,Semana 2,1.15,1.102
2015,Semana 3,1.132,1.079
2015,Semana 4,1.117,1.056
2015,Semana 5,1.121,1.059
2015,Semana 6,1.136,1.071
2015,Semana 7,1.178,1.108
2015,Semana 8,1.209,1.14
2015,Semana 9,1.225,1.162
2015,Semana 10,1.237,1.171
2015,Semana 11,1.258,1.178
2015,Semana 12,1.269,1.178
2015,Semana 13,1.261,1.159
2015,Semana 14,1.267,1.156
2015,Semana 15,1.2639999999999998,1.154
2015,Semana 16,1.261,1.152
2015,Semana 17,1.287,1.179
2015,Semana 18,1.307,1.196
2015,Semana 19,1.317,1.2
2015,Semana 20,1.314,1.204
2015,Semana 21,1.31,1.202
